type,cat,lat,lon,R,G,B,color
TS,2,0,0.0,96.8971559264374,87.07986888796283,72.5655547198596,10
TS,2,0,45.0,92.31221035600845,83.19941080252471,71.87326857223972,10
TS,3,0,-90.0,105.54977382745777,94.6434151888569,91.33510494862492,10
TS,3,0,0.0,149.9312081257145,151.19324849962607,154.24837888284577,10
TS,3,0,180.0,84.41443150391076,73.62626537823306,66.57704831022683,10
TS,3,0,-180.0,84.41443150391076,73.62626537823306,66.57704831022683,10
TS,4,0,-90.0,166.52442268454863,164.7192807224935,167.10517854309668,10
TS,4,0,0.0,99.36741448019,82.33383485227209,66.07778732364534,10
TS,4,0,90.0,158.02977837930996,154.84096743668258,151.5015392798177,10
TS,5,0,0.0,156.095705808515,146.02253945160388,148.85640370438932,10
TS,5,0,45.0,96.20887025672494,88.96152504350032,73.4656144287158,10
TS,6,0,-45.0,147.54143757642018,135.51840486543992,129.16228839934595,10
TS,7,0,0.0,111.6425701075303,103.9800901670013,92.3059561676502,10
TS,8,0,0.0,81.83230688155119,80.1528817893543,77.76092549995629,10
TS,8,0,180.0,121.88587799521713,98.33978913475495,71.36108519261067,10
TS,8,0,-180.0,121.88587799521713,98.33978913475495,71.36108519261067,10
TW,5,0,-90.0,145.4519588472795,141.40910010302142,134.27641434761262,12
TW,6,0,0.0,195.1510266523634,191.05407866954533,190.52762513762832,12
TW,9,0,180.0,117.6915305742306,107.28526136496757,102.00967344062283,12
TW,9,0,-180.0,117.6915305742306,107.28526136496757,102.00967344062283,12
TW,9,0,45.0,166.73372114544222,158.550251870877,150.45467124598335,12
TW,12,0,0.0,148.60979486621324,137.51212182685023,128.1106669308079,12
TW,17,0,0.0,148.83406682869136,143.25329064656933,140.42596800708887,12
TW,17,0,45.0,128.4155876230558,122.06561623347147,109.08672763013318,12
TW,17,0,90.0,106.45751252522801,104.62328503371316,102.1907080856464,12
TW,18,0,-90.0,168.4451555752791,163.79669372098877,158.5655961285709,12
TW,18,0,0.0,169.411388705791,159.88947680734964,147.6260423311742,12
TW,18,0,180.0,99.96720370048136,94.20332413572257,82.56675133894392,12
TW,18,0,-180.0,99.96720370048136,94.20332413572257,82.56675133894392,12
TW,18,0,45.0,140.06627633886868,134.08144724274516,123.64266592491737,12
TW,1,0,0.0,130.37876922601825,129.54334092122593,123.67254736690583,12
TW,1,0,45.0,151.652688466562,147.62201378476186,141.6359129404643,12
TW,1,0,90.0,103.1415408949604,109.06798409748977,110.43587030250971,12
TW,21,0,-135.0,180.55076016719013,176.69078361022468,169.54503710229574,12
TW,21,0,0.0,162.09606208132652,157.07611388404734,148.25017092017083,12
TW,21,0,135.0,173.91426596549417,166.57451806474327,153.46264204486616,12
TW,21,0,90.0,145.77086518505774,145.451585578672,134.06741966611986,12
TW,22,0,0.0,151.93600165978782,147.32545712455766,141.20385570113805,12
TW,23,0,180.0,120.06601736200159,125.54048861254054,127.93979568540041,12
TW,23,0,-180.0,120.06601736200159,125.54048861254054,127.93979568540041,12
TW,23,0,45.0,217.2041477982612,217.63009704681662,218.32183907255614,12
TW,23,0,90.0,168.97992894993186,171.45756432104366,168.69757718454176,12
TW,25,0,0.0,197.0746473435899,192.53961850416735,187.50498848252002,12
TW,2,0,-90.0,189.39892012166297,184.73490230969855,178.19715840996165,12
TW,2,0,90.0,144.71040809203416,141.68241276822957,138.81716392387608,12
TW,31,0,0.0,156.98386834945788,153.84234557495782,149.45271346565352,12
TW,31,0,135.0,142.8837608913214,140.51476643005682,138.7424621816592,12
TW,32,0,-135.0,168.5572020284636,165.2476255794478,162.35861892699356,12
TW,32,0,-45.0,176.50215513637272,171.77541319485388,166.85458935434377,12
TW,32,0,-90.0,165.65294500935983,160.05747160358976,149.42866611353222,12
TW,32,0,0.0,205.88502912486618,201.92463433911962,197.76989960289663,12
TW,32,0,180.0,96.0897128260921,89.99786598917476,82.20414251838258,12
TW,32,0,-180.0,96.0897128260921,89.99786598917476,82.20414251838258,12
TW,32,0,45.0,190.6949108715292,188.3716788298342,186.28020736648,12
TW,36,0,0.0,136.92001186053957,134.14161567565708,129.14578252582893,12
TW,37,0,0.0,163.72055717401386,159.72821237517135,152.3988518332713,12
TW,39,0,-90.0,166.51799006061418,159.36513620674344,151.8114048507551,12
TW,39,0,45.0,174.20030724417526,164.87549995266426,157.76936539264221,12
TW,45,0,-90.0,180.21089070214617,182.35298932908069,175.76011717392606,12
TW,45,0,0.0,159.50770603278153,152.3147697063217,145.07903480570533,12
TW,46,0,0.0,157.28066676048084,142.9372926375729,126.97987477685646,12
TW,46,0,180.0,149.97442180547822,145.37605241028464,144.51648403738525,12
TW,46,0,-180.0,149.97442180547822,145.37605241028464,144.51648403738525,12
TW,46,0,90.0,132.656204086159,127.51893134055855,121.06345535334374,12
